Week,Keyword status,Keyword,Campaign,Ad group,Currency code,Status,Policy details,Final URL,Mobile final URL,Impr.,CTR,Cost,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
12/23/19,Enabled,[cuenta bancaria digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,6,0,0,0,0,0,0,0
12/30/19,Enabled,[cuenta bancaria digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,8,0.25,7.27,2,0,0,3.64,0
1/6/20,Enabled,[cuenta bancaria digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,11,0,0,0,0,0,0,0
1/13/20,Enabled,[cuenta bancaria digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,4,0,0,0,0,0,0,0
10/28/19,Enabled,[cuenta digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/18/19,Enabled,[cuenta digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,169,0.1302,289.45,22,0.5455,12,13.16,24.12
11/25/19,Enabled,[cuenta digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,25,0.2,54.16,5,0,0,10.83,0
12/2/19,Enabled,[cuenta digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,193,0.1969,455.43,38,0.0526,2,11.99,227.72
12/9/19,Enabled,[cuenta digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,84,0.119,172.71,10,0,0,17.27,0
12/16/19,Enabled,[cuenta digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,54,0.0741,21.24,4,0,0,5.31,0
1/13/20,Enabled,[cuenta digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,111,0.0811,24.96,9,0,0,2.77,0
10/28/19,Enabled,[cuenta bancaria digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/11/19,Enabled,[cuenta bancaria digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,0,0,0,0,0,0,0,0
11/18/19,Enabled,[cuenta bancaria digital],cuenta-digital_brand,Cuenta_Digital_brand_exa,MXN,Eligible,Approved,,,29,0.1724,423.4,5,0.2,1,84.68,423.4
